"FirstName","LastName","MemberNumber","CarNumber","Car","Class","Best","Best Indexed","ClassRank","IndexRank","OverallRank","Rookie","Run 1","Run 1 Pen","Run 2","Run 2 Pen","Run 3","Run 3 Pen","Run 4","Run 4 Pen","Run 5","Run 5 Pen","Run 6","Run 6 Pen"
"Jeremy","Anderson","","780","2022 Exomotive Exocet","EM","42.613","38.777","1","33","1","","43.612","","42.613","","45.001","DNF"
"Adam","Barber","","1","1988 Honda CRX","P-STS","44.253","36.110","1","2","2","","45.085","","44.253","","44.323",""
"Justin","Tilus","","94","2007 Honda Civic Si","P-FSP","44.396","36.893","4","6","3","","48.215","","46.196","","44.396",""
"Brandon","Ranvek","","510","2004 Mitsubishi Evolution VIII","XA","44.488","37.547","1","16","4","","45.171","","44.488",""
"Robin","Newborg","","79","2024 Honda Civic Type R","P-BS","44.576","36.463","2","4","5","","45.573","","44.576","","44.933",""
"Brandon","Cottrell","","403","2021 Toyota Supra","XA","44.594","37.637","2","18","6","","45.277","","44.594","","50.4",""
"Joe","Deleon","","350","2003 Nissan 350z","XA","44.778","37.792","3","20","7","","45.252","","44.778",""
"Matthew","Sebelski","","21","2001 Chevrolet Corvette Z06","CAMS","44.858","38.039","1","25","8","","45.055","","46.016","","44.858",""
"Ross","Jacobs","","311","2017 Ford Focus RS","Z-DS","44.934","36.396","1","3","9","","46.623","","44.934","","49.019",""
"Nathan","Thalhuber","","711","1991 Toyota MR2","XA","45.032","38.007","4","24","10","","47.969","3","45.032","","45.312","1"
"Jacob","Witt","522450","78","1992 Mazda Miata","P-STS","45.343","36.999","5","8","11","","46.92","","73.237","RERUN","45.543","","45.343",""
"Jordan","Hill","","124","2022 Toyota GR86","P-DS","45.478","36.837","3","5","12","","99.846","DNF","47.909","","45.478",""
"John","Mensch","","58","1988 Honda CRX","P-STS","45.488","37.118","6","10","13","","48.239","","56.694","RERUN","45.957","","45.488",""
"Chris","Lottes","","713","2022 Mazda MX-5 Club","CS","45.533","37.018","1","9","14","","47.45","","45.9","","45.533",""
"Mitch","Welker","","76","1999 Maza Miata","ES","45.569","36.090","1","1","15","","78.333","RERUN 1","23.495","RERUN","46.857","","46.223","","45.569",""
"Chris","Weiske","","134","2011 Subaru Subauwu Impweza REX TI","XA","45.588","38.476","5","29","16","","52.643","1","45.588",""
"Kyle","Greene","","77","2018 Honda Civic Type R","Z-DS","45.630","36.960","2","7","17","","46.968","","45.63","","50.065",""
"Bernie","Kaeferlein","","421","2022 Toyota GR86","P-DS","45.829","37.121","7","11","18","","48.258","","46.609","","45.829",""
"Nicholas","Bedell","","62","2013 Scion Frs","P-SSC","46.160","37.158","8","12","19","","45.358","1","46.16","","47.598",""
